index,Complain,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD
446,0,0,57,2162,0,1,0,0,0,0,0,1,0,0
447,0,0,45,2284,0,1,0,0,0,0,0,1,0,0
448,0,0,51,2277,0,0,1,0,0,0,0,0,0,1
449,0,1,65,2591,0,0,0,1,0,0,0,0,0,1
450,0,0,50,2765,0,0,0,0,1,0,0,1,0,0
451,0,0,69,2274,0,1,0,0,0,0,0,1,0,0
452,0,0,49,2842,0,0,0,1,0,0,0,0,0,1
453,0,0,45,2618,0,1,0,0,0,0,0,1,0,0
454,0,1,40,2421,0,1,0,0,0,0,0,1,0,0
455,0,1,39,2853,0,0,0,1,0,0,0,0,0,1
456,0,0,42,2702,0,1,0,0,0,0,0,1,0,0
457,0,0,32,2201,0,0,1,0,0,0,0,1,0,0
458,0,0,64,2655,0,1,0,0,0,0,0,1,0,0
459,0,0,48,2210,0,0,1,0,0,0,0,0,0,1
460,0,0,43,2196,0,1,0,0,0,0,0,0,1,0
461,0,0,48,2773,0,1,0,0,0,0,0,0,0,1
462,0,0,43,2765,0,1,0,0,0,0,0,1,0,0
463,0,0,47,2340,0,1,0,0,0,0,0,0,1,0
464,0,0,48,2481,1,0,0,0,0,0,0,0,1,0
465,0,1,46,2838,0,0,1,0,0,0,0,1,0,0
466,0,0,45,2401,0,1,0,0,0,0,0,1,0,0
467,0,0,60,2786,0,0,0,1,0,0,0,0,1,0
468,0,1,56,2812,1,0,0,0,0,0,0,0,0,1
469,0,0,44,2386,0,0,0,1,0,0,0,0,1,0
470,0,0,46,2527,0,1,0,0,0,0,0,1,0,0
471,0,0,51,2313,0,1,0,0,0,0,0,1,0,0
472,0,0,68,2768,0,0,0,0,1,1,0,0,0,0
473,0,0,62,2802,0,0,0,1,0,0,0,0,0,1
474,0,0,44,2732,1,0,0,0,0,0,0,1,0,0
475,0,0,65,2651,0,0,0,1,0,0,0,1,0,0
476,0,0,56,2692,0,0,1,0,0,0,0,0,1,0
477,0,0,76,2373,1,0,0,0,0,0,0,0,0,1
478,0,0,58,2601,1,0,0,0,0,0,0,0,1,0
479,0,0,42,2244,1,0,0,0,0,0,0,1,0,0
480,0,0,49,2593,0,0,0,1,0,0,0,0,0,1
481,0,0,71,2197,0,0,0,1,0,0,0,0,0,1
482,0,0,76,2611,0,1,0,0,0,0,0,1,0,0
483,0,0,70,2851,0,0,0,1,0,0,0,1,0,0
484,0,0,59,2385,0,0,0,1,0,0,0,0,1,0
485,0,0,30,2706,0,1,0,0,0,0,1,0,0,0
486,0,0,35,2833,0,1,0,0,0,0,0,0,0,1
487,0,0,64,2532,0,0,0,1,0,0,0,0,1,0
488,0,0,67,2758,0,0,0,0,1,0,0,1,0,0
489,0,0,44,2368,0,1,0,0,0,0,0,1,0,0
490,0,0,31,2504,0,0,1,0,0,0,0,1,0,0
491,0,0,28,2532,0,1,0,0,0,0,0,1,0,0
492,0,0,61,2719,1,0,0,0,0,0,0,1,0,0
493,0,0,39,2559,0,0,0,1,0,0,0,0,0,1
494,0,0,41,2617,0,0,1,0,0,0,0,1,0,0
495,0,0,56,2411,0,1,0,0,0,0,0,1,0,0
496,0,0,61,2263,0,0,0,1,0,0,0,0,1,0
497,0,0,74,2573,0,0,0,1,0,0,0,0,0,1
498,0,0,45,2600,0,0,1,0,0,0,0,0,1,0
499,0,0,59,2670,0,1,0,0,0,0,0,1,0,0
500,0,0,30,2523,0,0,1,0,0,0,0,1,0,0
501,0,0,61,2469,0,0,0,1,0,0,0,1,0,0
502,0,0,76,2279,0,1,0,0,0,0,0,0,1,0
503,0,0,55,2312,1,0,0,0,0,0,0,1,0,0
504,0,0,33,2279,0,0,1,0,0,0,0,0,1,0
505,0,0,29,2476,0,1,0,0,0,0,0,1,0,0
506,0,0,67,2796,0,1,0,0,0,0,0,1,0,0
507,0,1,33,2818,0,1,0,0,0,0,0,1,0,0
508,0,0,34,2731,0,1,0,0,0,0,0,1,0,0
509,0,0,62,2373,0,0,0,1,0,0,0,0,0,1
510,0,0,43,2180,0,1,0,0,0,0,0,0,1,0
511,0,0,56,2845,0,0,1,0,0,0,0,1,0,0
512,0,0,60,2397,0,1,0,0,0,0,0,0,0,1
513,0,0,45,2658,0,0,0,0,1,1,0,0,0,0
514,0,0,51,2443,0,0,1,0,0,0,0,1,0,0
515,0,0,43,2170,0,0,0,1,0,0,0,0,1,0
516,0,0,58,2590,0,1,0,0,0,0,0,1,0,0
517,0,0,38,2536,0,0,1,0,0,0,0,1,0,0
518,0,0,69,2603,0,0,0,1,0,0,0,0,1,0
519,0,0,53,2321,0,0,0,1,0,0,0,1,0,0
520,0,1,53,2293,1,0,0,0,0,0,0,1,0,0
521,0,0,68,2484,0,0,0,1,0,1,0,0,0,0
522,0,0,39,2347,0,0,1,0,0,0,0,0,1,0
523,0,0,43,2393,0,0,0,1,0,1,0,0,0,0
524,0,0,51,2851,0,0,0,0,1,0,0,1,0,0
525,0,0,36,2737,0,0,1,0,0,0,0,0,0,1
526,0,1,38,2485,0,1,0,0,0,0,0,0,0,1
527,0,0,44,2549,0,0,0,1,0,0,0,1,0,0
528,0,0,30,2272,0,1,0,0,0,1,0,0,0,0
529,0,1,56,2332,0,0,0,0,1,0,0,1,0,0
530,0,0,40,2367,0,1,0,0,0,0,0,1,0,0
531,0,1,52,2313,0,1,0,0,0,0,0,1,0,0
532,0,0,47,2251,0,1,0,0,0,0,0,0,1,0
533,0,0,57,2249,0,0,1,0,0,1,0,0,0,0
534,0,1,31,2241,0,0,1,0,0,0,0,1,0,0
535,0,0,49,2301,0,0,1,0,0,0,0,0,0,1
536,0,0,57,2596,0,1,0,0,0,0,0,1,0,0
537,0,1,71,2394,0,1,0,0,0,0,0,0,1,0
538,0,0,68,2814,0,0,0,1,0,0,0,1,0,0
539,0,0,42,2644,0,0,1,0,0,0,0,0,0,1
540,0,0,38,2609,0,1,0,0,0,0,0,1,0,0
541,0,0,50,2489,0,1,0,0,0,1,0,0,0,0
542,0,1,61,2562,0,0,0,1,0,0,0,1,0,0
543,0,0,42,2452,0,1,0,0,0,0,0,1,0,0
544,0,0,40,2537,0,0,1,0,0,0,0,1,0,0
545,0,0,49,2528,0,0,0,1,0,0,0,0,1,0
546,0,0,50,2324,0,1,0,0,0,1,0,0,0,0
547,0,0,57,2395,1,0,0,0,0,0,0,0,0,1
548,0,0,70,2181,0,0,0,1,0,0,0,0,0,1
549,0,0,58,2730,0,0,1,0,0,0,0,1,0,0
550,0,0,69,2454,0,0,0,1,0,0,0,0,1,0
551,0,0,41,2518,0,0,1,0,0,0,0,1,0,0
552,0,0,50,2728,0,0,0,1,0,0,0,1,0,0
553,0,0,46,2814,0,1,0,0,0,0,0,1,0,0
554,0,0,52,2312,0,1,0,0,0,0,0,0,0,1
555,0,0,42,2448,0,0,1,0,0,1,0,0,0,0
556,0,0,50,2491,0,0,0,1,0,0,0,0,0,1
557,0,0,39,2429,0,1,0,0,0,0,0,0,1,0
558,0,1,43,2673,0,1,0,0,0,0,0,0,0,1
559,0,0,52,2248,0,1,0,0,0,0,0,1,0,0
560,0,0,50,2469,0,1,0,0,0,0,0,1,0,0
561,0,0,54,2445,0,0,0,1,0,0,0,0,0,1
562,0,0,64,2514,0,0,0,1,0,0,0,0,1,0
563,0,0,46,2755,0,1,0,0,0,0,0,0,0,1
564,0,0,69,2627,0,0,0,1,0,0,0,1,0,0
565,0,0,53,2411,0,0,0,1,0,1,0,0,0,0
566,0,0,69,2599,0,1,0,0,0,0,0,0,1,0
567,0,0,37,2246,0,0,0,1,0,0,0,1,0,0
568,0,0,49,2231,0,0,0,1,0,1,0,0,0,0
569,0,1,65,2803,0,0,0,0,1,0,0,1,0,0
570,0,0,59,2447,0,1,0,0,0,0,0,0,1,0
571,0,0,65,2202,0,0,0,1,0,0,0,1,0,0
572,0,0,61,2472,0,0,0,1,0,0,0,1,0,0
573,1,1,36,2784,0,0,1,0,0,0,0,0,0,1
574,0,1,45,2723,0,1,0,0,0,0,0,0,1,0
575,0,0,55,2390,0,0,1,0,0,0,0,0,1,0
576,0,0,43,2309,0,0,0,1,0,0,0,1,0,0
577,0,0,48,2450,0,1,0,0,0,0,0,0,0,1
578,0,1,45,2442,0,0,0,1,0,0,0,0,1,0
579,0,0,51,2770,1,0,0,0,0,0,0,1,0,0
580,0,0,51,2412,0,1,0,0,0,0,0,0,1,0
581,0,0,42,2549,0,1,0,0,0,1,0,0,0,0
582,0,0,39,2840,0,0,0,1,0,0,0,1,0,0
583,0,0,59,2652,0,0,1,0,0,0,0,1,0,0
584,0,0,60,2826,0,0,0,1,0,0,0,1,0,0
585,0,0,65,2444,0,0,1,0,0,0,0,1,0,0
586,0,0,72,2726,0,1,0,0,0,0,0,0,0,1
587,0,0,54,2678,0,0,0,1,0,0,0,0,1,0
588,0,1,34,2706,0,0,1,0,0,0,0,0,1,0
589,0,0,47,2297,0,0,0,0,1,0,0,1,0,0
590,0,0,64,2634,1,0,0,0,0,0,0,1,0,0
591,0,0,45,2770,0,1,0,0,0,0,1,0,0,0
592,0,0,55,2212,0,1,0,0,0,0,0,1,0,0
593,0,0,51,2473,0,0,1,0,0,0,0,0,1,0
594,0,0,76,2505,0,0,0,0,1,0,0,0,1,0
595,0,0,47,2724,0,1,0,0,0,0,1,0,0,0
596,0,0,53,2403,0,1,0,0,0,0,0,1,0,0
597,0,1,51,2756,0,0,1,0,0,0,0,0,0,1
598,0,0,46,2497,0,1,0,0,0,0,0,1,0,0
599,0,0,55,2578,0,0,1,0,0,0,0,0,1,0
600,0,0,42,2627,0,0,0,0,1,0,0,1,0,0
601,0,0,60,2840,0,1,0,0,0,0,0,0,1,0
602,0,0,59,2512,0,1,0,0,0,0,0,0,0,1
603,0,0,49,2509,0,0,1,0,0,0,0,1,0,0
604,0,0,71,2270,0,0,0,0,1,0,0,1,0,0
605,0,0,42,2342,0,0,1,0,0,1,0,0,0,0
606,0,0,65,2550,0,1,0,0,0,1,0,0,0,0
607,0,0,44,2684,0,1,0,0,0,0,0,1,0,0
608,0,0,45,2550,0,0,1,0,0,0,0,1,0,0
609,0,1,60,2805,0,0,0,1,0,0,0,1,0,0
610,0,0,43,2820,1,0,0,0,0,0,0,0,0,1
611,0,0,43,2717,0,0,1,0,0,0,0,1,0,0
612,0,0,50,2381,0,1,0,0,0,0,0,0,0,1
613,0,0,62,2175,0,0,0,1,0,0,0,0,0,1
614,0,0,50,2324,0,1,0,0,0,1,0,0,0,0
615,0,1,60,2293,0,0,1,0,0,1,0,0,0,0
616,0,1,47,2596,0,0,1,0,0,0,0,1,0,0
617,0,0,58,2270,1,0,0,0,0,0,0,1,0,0
618,0,0,68,2549,0,0,1,0,0,0,0,1,0,0
619,0,0,58,2696,0,1,0,0,0,0,0,1,0,0
620,0,1,70,2798,1,0,0,0,0,0,0,0,1,0
621,0,0,49,2394,0,1,0,0,0,0,0,1,0,0
622,0,0,60,2791,0,0,0,1,0,0,0,1,0,0
623,0,0,72,2206,0,0,0,1,0,0,0,0,0,1
624,0,0,61,2705,1,0,0,0,0,0,0,0,0,1
625,0,0,56,2577,0,0,1,0,0,0,0,1,0,0
626,0,1,73,2635,0,0,0,1,0,0,0,0,1,0
627,0,0,49,2474,0,1,0,0,0,0,0,0,0,1
628,0,1,50,2683,0,0,0,1,0,0,0,1,0,0
629,0,0,50,2357,1,0,0,0,0,0,0,0,1,0
630,0,0,43,2196,0,1,0,0,0,0,0,0,1,0
631,0,0,62,2445,0,0,0,1,0,0,0,1,0,0
632,0,0,60,2291,0,0,1,0,0,0,0,0,1,0
633,0,0,35,2830,0,0,0,1,0,0,0,1,0,0
634,0,0,46,2845,0,1,0,0,0,0,0,1,0,0
635,0,0,70,2236,0,0,0,1,0,0,0,0,0,1
636,0,0,65,2854,1,0,0,0,0,0,0,1,0,0
637,0,0,67,2335,0,0,0,1,0,0,0,1,0,0
638,0,0,62,2804,0,0,0,1,0,1,0,0,0,0
639,0,0,73,2461,0,0,0,1,0,0,0,0,0,1
640,0,0,54,2410,0,0,1,0,0,0,0,0,0,1
641,0,0,57,2728,0,0,0,1,0,0,0,1,0,0
642,0,0,35,2386,0,1,0,0,0,0,0,1,0,0
643,0,0,45,2345,0,0,0,0,1,0,0,1,0,0
644,0,0,40,2819,0,1,0,0,0,0,1,0,0,0
645,0,0,64,2703,0,0,0,1,0,0,0,0,1,0
646,0,0,61,2707,0,1,0,0,0,0,0,1,0,0
647,0,0,46,2568,0,0,0,1,0,0,0,0,0,1
648,0,0,33,2436,0,0,1,0,0,0,1,0,0,0
649,0,0,52,2575,0,1,0,0,0,0,0,0,0,1
650,0,0,49,2393,0,1,0,0,0,1,0,0,0,0
651,0,0,56,2494,0,1,0,0,0,0,0,0,0,1
652,0,0,58,2392,0,0,1,0,0,0,0,0,1,0
653,0,0,50,2814,0,0,0,0,1,0,0,1,0,0
654,0,0,40,2354,0,1,0,0,0,0,0,1,0,0
655,0,0,45,2734,0,0,1,0,0,0,0,0,0,1
656,0,0,46,2197,0,1,0,0,0,0,0,1,0,0
657,0,1,57,2766,0,1,0,0,0,0,0,0,0,1
658,0,0,41,2337,0,0,1,0,0,0,0,1,0,0
659,0,1,35,2537,0,1,0,0,0,1,0,0,0,0
660,0,0,40,2347,0,0,1,0,0,0,0,0,0,1
661,0,0,57,2413,1,0,0,0,0,0,0,1,0,0
662,0,0,53,2827,1,0,0,0,0,0,0,1,0,0
663,0,0,38,2498,0,0,0,1,0,1,0,0,0,0
664,0,0,65,2407,0,0,0,1,0,0,0,1,0,0
665,0,0,53,2351,0,0,0,1,0,0,0,1,0,0
666,0,0,44,2638,1,0,0,0,0,0,0,0,0,1
667,0,1,48,2814,0,0,1,0,0,0,0,0,0,1
668,0,0,31,2203,0,0,0,1,0,0,0,0,0,1
669,0,0,51,2431,0,0,0,1,0,0,0,0,0,1
670,0,1,60,2792,1,0,0,0,0,0,0,0,0,1
671,0,0,50,2467,0,0,1,0,0,0,0,1,0,0
672,0,0,62,2511,0,0,0,1,0,0,0,0,1,0
673,0,0,68,2398,0,0,0,1,0,0,1,0,0,0
674,0,1,71,2555,0,0,0,0,1,0,0,0,1,0
675,0,0,59,2497,0,1,0,0,0,0,0,0,1,0
676,0,0,25,2254,0,0,1,0,0,0,0,1,0,0
677,0,1,71,2606,0,0,1,0,0,0,0,0,0,1
678,0,0,59,2397,0,0,1,0,0,0,0,1,0,0
679,0,0,60,2240,0,0,0,1,0,0,0,1,0,0
680,0,0,47,2444,1,0,0,0,0,0,0,1,0,0
681,0,0,42,2268,0,1,0,0,0,0,0,1,0,0
682,0,0,42,2297,1,0,0,0,0,0,0,1,0,0
683,0,1,32,2220,0,0,1,0,0,0,0,0,1,0
684,0,0,52,2344,1,0,0,0,0,0,0,0,1,0
685,0,0,34,2694,0,1,0,0,0,0,0,1,0,0
686,0,0,50,2161,1,0,0,0,0,0,0,0,0,1
687,0,0,69,2604,1,0,0,0,0,0,0,1,0,0
688,0,0,72,2379,0,0,0,1,0,0,0,0,0,1
689,0,1,49,2694,0,1,0,0,0,0,0,0,1,0
690,0,0,34,2511,0,1,0,0,0,0,0,1,0,0
691,0,0,55,2775,0,0,1,0,0,0,0,0,1,0
692,0,0,45,2653,0,0,1,0,0,0,0,1,0,0
693,0,0,67,2570,0,0,0,1,0,0,0,1,0,0
694,0,0,38,2485,0,0,0,1,0,0,0,1,0,0
695,0,0,45,2728,0,1,0,0,0,0,0,0,0,1
696,0,1,60,2803,1,0,0,0,0,1,0,0,0,0
697,0,0,42,2662,0,0,0,1,0,0,0,1,0,0
698,0,0,50,2614,1,0,0,0,0,0,0,1,0,0
699,0,0,62,2251,0,0,1,0,0,0,0,1,0,0
700,0,0,55,2716,0,1,0,0,0,0,0,0,1,0
701,0,0,66,2582,0,1,0,0,0,0,0,1,0,0
702,0,0,36,2196,0,1,0,0,0,0,0,0,0,1
703,0,0,55,2660,0,1,0,0,0,0,0,1,0,0
704,0,1,44,2856,0,1,0,0,0,0,0,1,0,0
705,0,0,54,2180,0,1,0,0,0,0,0,1,0,0
706,0,0,65,2377,0,1,0,0,0,0,0,1,0,0
707,0,0,44,2314,1,0,0,0,0,0,0,0,1,0
708,0,0,55,2420,0,1,0,0,0,0,0,0,1,0
709,0,0,29,2599,0,0,0,1,0,0,0,1,0,0
710,0,0,71,2434,1,0,0,0,0,0,0,0,0,1
711,0,0,67,2850,0,0,0,1,0,0,0,0,0,1
712,0,0,42,2541,0,1,0,0,0,0,0,1,0,0
713,0,0,72,2415,1,0,0,0,0,0,0,0,0,1
714,0,0,47,2422,1,0,0,0,0,0,0,1,0,0
715,0,1,71,2220,0,1,0,0,0,0,0,1,0,0
716,0,0,47,2616,0,1,0,0,0,0,0,1,0,0
717,0,0,68,2185,0,0,0,1,0,0,0,0,1,0
718,0,0,31,2627,0,1,0,0,0,0,1,0,0,0
719,0,0,51,2848,0,0,0,1,0,0,0,1,0,0
720,0,0,67,2622,0,0,1,0,0,0,0,0,0,1
721,0,0,64,2639,0,0,0,1,0,0,0,0,1,0
722,0,0,70,2338,0,0,1,0,0,0,0,0,0,1
723,0,0,42,2491,0,0,0,1,0,1,0,0,0,0
724,0,0,56,2314,0,1,0,0,0,0,0,1,0,0
725,0,0,68,2572,0,0,0,1,0,0,0,1,0,0
726,0,0,45,2361,0,1,0,0,0,1,0,0,0,0
727,0,0,25,2271,0,0,1,0,0,0,0,1,0,0
728,0,0,50,2446,0,0,1,0,0,0,0,1,0,0
729,0,1,66,2310,0,1,0,0,0,1,0,0,0,0
730,0,0,48,2339,0,0,0,1,0,0,0,0,0,1
731,0,0,62,2428,0,0,0,1,0,0,0,0,0,1
732,0,0,45,2345,0,0,0,0,1,0,0,1,0,0
733,0,1,51,2645,0,1,0,0,0,0,0,1,0,0
734,0,0,41,2217,0,0,0,1,0,0,0,1,0,0
735,0,0,42,2664,0,0,0,1,0,1,0,0,0,0
736,0,1,48,2846,0,0,0,1,0,0,0,0,0,1
737,0,0,56,2442,0,1,0,0,0,0,0,1,0,0
738,0,0,41,2630,0,1,0,0,0,0,0,0,1,0
739,0,0,61,2243,0,1,0,0,0,0,0,0,0,1
740,0,0,39,2428,0,1,0,0,0,1,0,0,0,0
741,0,0,53,2225,0,0,1,0,0,0,0,1,0,0
742,0,0,32,2403,0,1,0,0,0,0,0,0,1,0
743,0,1,42,2574,0,0,1,0,0,0,0,0,0,1
744,0,0,68,2197,0,0,1,0,0,0,0,1,0,0
745,0,0,65,2587,0,1,0,0,0,0,0,1,0,0
746,0,0,43,2815,0,1,0,0,0,0,0,1,0,0
747,0,0,33,2821,0,0,0,1,0,0,0,1,0,0
748,0,0,55,2460,0,1,0,0,0,1,0,0,0,0
749,0,0,64,2558,0,1,0,0,0,0,0,0,1,0
750,0,0,41,2520,0,1,0,0,0,0,0,1,0,0
751,0,0,69,2358,0,1,0,0,0,0,0,0,0,1
752,0,1,55,2590,0,0,1,0,0,0,0,1,0,0
753,0,0,48,2601,0,1,0,0,0,0,0,1,0,0
754,0,0,63,2727,0,0,0,1,0,0,0,0,0,1
755,0,0,67,2639,0,0,0,1,0,0,0,1,0,0
756,0,0,55,2462,0,0,1,0,0,0,0,0,0,1
757,0,0,62,2313,0,0,0,1,0,0,0,0,0,1
758,0,0,65,2352,0,0,1,0,0,0,0,0,1,0
759,0,0,49,2449,0,0,1,0,0,0,0,1,0,0
760,0,0,46,2244,0,0,1,0,0,0,0,0,0,1
761,0,0,44,2235,0,0,0,1,0,0,0,1,0,0
762,0,0,50,2208,0,0,1,0,0,0,0,1,0,0
763,0,0,48,2261,0,1,0,0,0,0,0,1,0,0
764,0,0,48,2535,0,0,0,1,0,0,0,1,0,0
765,0,0,34,2767,0,1,0,0,0,0,1,0,0,0
766,0,0,60,2293,0,0,0,1,0,0,0,0,1,0
767,0,1,52,2702,1,0,0,0,0,0,0,0,0,1
768,0,0,42,2190,0,1,0,0,0,0,0,0,1,0
769,0,0,44,2818,1,0,0,0,0,0,0,1,0,0
770,0,0,75,2689,0,0,0,1,0,0,0,0,1,0
771,0,1,63,2758,0,1,0,0,0,0,0,0,0,1
772,0,0,70,2504,0,0,1,0,0,0,0,1,0,0
773,0,0,42,2402,0,1,0,0,0,0,0,1,0,0
774,0,0,59,2609,0,0,1,0,0,0,0,1,0,0
775,0,0,58,2684,0,0,1,0,0,0,0,0,1,0
776,0,0,66,2160,0,1,0,0,0,0,0,0,0,1
777,0,0,55,2773,1,0,0,0,0,1,0,0,0,0
778,0,0,47,2643,0,0,0,1,0,0,0,1,0,0
779,0,0,52,2356,0,1,0,0,0,0,0,1,0,0
780,0,0,50,2357,0,1,0,0,0,0,0,0,1,0
781,0,0,64,2619,0,0,0,0,1,0,0,1,0,0
782,0,0,69,2685,0,1,0,0,0,0,0,1,0,0
783,0,0,76,2395,0,0,1,0,0,0,0,0,0,1
784,0,1,62,2608,0,1,0,0,0,0,0,1,0,0
785,0,0,44,2396,0,1,0,0,0,0,0,0,1,0
786,0,0,49,2257,0,1,0,0,0,0,0,0,1,0
787,0,0,63,2410,0,1,0,0,0,0,0,1,0,0
788,0,0,48,2623,0,1,0,0,0,0,0,1,0,0
789,0,0,48,2608,0,0,1,0,0,0,0,1,0,0
790,0,0,39,2415,0,1,0,0,0,0,0,1,0,0
791,0,1,48,2594,0,0,1,0,0,0,0,1,0,0
792,0,0,45,2188,0,0,1,0,0,0,0,1,0,0
793,0,0,65,2669,0,1,0,0,0,0,0,0,1,0
794,0,0,34,2377,0,0,0,1,0,0,0,0,0,1
795,0,0,50,2207,0,0,0,1,0,0,0,0,0,1
796,0,0,44,2268,0,1,0,0,0,0,0,1,0,0
797,0,0,66,2741,0,0,1,0,0,0,0,1,0,0
798,0,0,48,2251,0,1,0,0,0,0,0,1,0,0
799,0,0,42,2460,0,1,0,0,0,1,0,0,0,0
800,0,1,40,2579,0,0,1,0,0,0,0,0,0,1
801,0,0,48,2484,0,1,0,0,0,0,0,1,0,0
802,0,1,59,2173,0,0,1,0,0,0,0,1,0,0
803,0,0,57,2596,0,1,0,0,0,0,0,1,0,0
804,0,1,61,2562,0,0,0,1,0,0,0,1,0,0
805,0,0,61,2598,1,0,0,0,0,1,0,0,0,0
806,0,0,66,2577,0,1,0,0,0,0,0,1,0,0
807,0,0,58,2692,1,0,0,0,0,0,0,1,0,0
808,0,0,62,2573,0,0,0,0,1,0,0,0,0,1
809,0,0,36,2279,0,0,0,1,0,0,0,1,0,0
810,0,0,44,2378,1,0,0,0,0,0,0,0,0,1
811,0,0,28,2816,0,0,1,0,0,0,0,1,0,0
812,0,0,53,2579,0,0,0,1,0,0,0,0,0,1
813,0,0,40,2429,0,0,0,1,0,1,0,0,0,0
814,0,0,53,2659,0,1,0,0,0,0,0,1,0,0
815,0,0,64,2616,0,1,0,0,0,0,0,1,0,0
816,0,0,48,2589,0,0,1,0,0,0,0,0,1,0
817,0,0,40,2803,1,0,0,0,0,0,0,1,0,0
818,0,0,40,2521,0,0,1,0,0,1,0,0,0,0
819,0,0,43,2259,0,0,1,0,0,0,0,1,0,0
820,0,0,70,2487,0,0,0,1,0,0,0,1,0,0
821,0,0,46,2736,0,1,0,0,0,0,0,1,0,0
822,0,0,32,2207,0,0,1,0,0,0,0,1,0,0
823,0,0,39,2755,0,1,0,0,0,0,0,1,0,0
824,0,0,60,2496,0,1,0,0,0,1,0,0,0,0
825,0,1,50,2326,0,0,0,1,0,0,0,1,0,0
826,0,0,29,2797,0,0,1,0,0,1,0,0,0,0
827,0,0,64,2711,0,0,1,0,0,0,0,0,1,0
828,0,0,57,2408,0,0,1,0,0,0,0,1,0,0
829,0,0,40,2574,0,1,0,0,0,0,0,1,0,0
830,0,0,46,2540,0,0,1,0,0,0,0,1,0,0
831,0,0,66,2328,0,1,0,0,0,0,0,0,0,1
832,0,0,63,2759,0,1,0,0,0,1,0,0,0,0
833,0,0,54,2193,0,0,0,1,0,0,0,0,0,1
834,0,1,46,2263,0,1,0,0,0,0,0,0,0,1
835,0,0,41,2613,0,0,1,0,0,0,0,1,0,0
836,0,0,47,2276,0,1,0,0,0,0,0,0,1,0
837,0,0,35,2654,0,1,0,0,0,0,0,1,0,0
838,0,0,54,2792,0,0,0,1,0,0,0,1,0,0
839,0,0,31,2579,0,1,0,0,0,1,0,0,0,0
840,0,0,51,2313,0,0,0,1,0,0,0,1,0,0
841,0,0,51,2293,0,0,0,1,0,0,0,0,1,0
842,0,0,33,2695,0,1,0,0,0,0,0,1,0,0
843,0,0,31,2792,0,0,0,1,0,1,0,0,0,0
844,0,0,45,2353,0,0,1,0,0,1,0,0,0,0
845,0,0,47,2542,0,0,0,1,0,0,0,0,0,1
846,0,0,54,2619,0,0,1,0,0,0,0,0,1,0
847,0,0,34,2437,0,0,1,0,0,0,0,0,1,0
848,0,0,42,2578,0,0,0,1,0,0,0,1,0,0
849,0,0,41,2779,0,0,0,1,0,0,0,1,0,0
850,0,0,37,2433,0,0,0,1,0,0,0,0,0,1
851,0,0,61,2333,0,0,1,0,0,0,0,1,0,0
852,0,0,44,2177,0,0,0,1,0,0,0,1,0,0
853,0,0,39,2245,0,0,1,0,0,1,0,0,0,0
854,0,0,42,2425,0,0,0,1,0,0,0,0,1,0
855,0,0,67,2444,0,0,0,1,0,0,0,1,0,0
856,0,0,49,2523,1,0,0,0,0,0,0,0,1,0
857,0,0,37,2659,0,1,0,0,0,0,0,1,0,0
858,0,0,64,2244,0,0,1,0,0,0,0,0,1,0
859,0,0,42,2687,0,0,0,1,0,1,0,0,0,0
860,0,1,48,2298,0,0,1,0,0,0,0,1,0,0
861,0,0,45,2780,0,1,0,0,0,0,0,1,0,0
862,0,0,45,2500,1,0,0,0,0,0,0,1,0,0
863,0,0,39,2169,0,1,0,0,0,1,0,0,0,0
864,0,1,48,2814,0,0,1,0,0,0,0,0,0,1
865,0,0,50,2521,0,0,0,1,0,0,0,0,0,1
866,0,0,67,2739,0,0,1,0,0,0,0,0,0,1
867,0,0,61,2359,0,1,0,0,0,0,0,1,0,0
868,0,0,58,2613,0,0,0,1,0,0,0,1,0,0
869,0,0,42,2354,0,0,1,0,0,0,0,0,1,0
870,0,0,47,2664,0,1,0,0,0,0,0,1,0,0
871,0,0,55,2818,0,0,0,0,1,0,0,0,1,0
872,0,0,37,2325,0,1,0,0,0,0,0,1,0,0
873,0,0,29,2219,0,0,1,0,0,0,1,0,0,0
874,0,1,77,2672,1,0,0,0,0,0,0,0,0,1
875,0,0,48,2723,0,0,1,0,0,0,0,0,0,1
876,0,1,64,2485,0,0,0,1,0,0,0,1,0,0
877,0,0,62,2316,1,0,0,0,0,0,0,1,0,0
878,0,0,46,2481,0,1,0,0,0,0,0,0,0,1
879,0,0,34,2409,1,0,0,0,0,0,0,1,0,0
880,0,0,62,2667,0,1,0,0,0,0,0,1,0,0
881,0,0,50,2476,1,0,0,0,0,0,0,1,0,0
882,0,0,53,2509,0,0,0,1,0,0,0,1,0,0
883,0,0,47,2366,0,0,0,1,0,0,0,1,0,0
884,0,0,51,2621,0,0,0,1,0,0,0,1,0,0
885,0,0,43,2240,0,0,1,0,0,0,0,1,0,0
886,0,1,59,2379,0,0,1,0,0,0,0,1,0,0
887,0,0,49,2368,0,0,0,0,1,0,0,1,0,0
888,0,0,46,2335,0,0,0,1,0,0,0,1,0,0
889,0,0,34,2270,0,1,0,0,0,0,0,0,0,1
890,0,0,54,2524,0,0,1,0,0,0,0,0,0,1
891,0,0,28,2393,0,0,0,1,0,0,0,1,0,0
892,0,1,57,2679,0,0,0,0,1,0,0,0,0,1
893,0,1,48,2509,0,1,0,0,0,0,0,0,1,0
